feedback_id,resolved_time,status,resolution_hours
FB1055,2024-01-23 10:04,Từ chối,24h
FB1107,19/01/2024 12:26,Từ chối,-1
FB1011,09/02/2024 12:46,,
FB1000,2024-02-02 05:50,Từ chối,-1
FB1094,2024-01-19 21:33,dang  xu ly,4
FB1035,2024-01-25 18:00,Tu choi,24h
FB1113,01/01/2024 09:00,Đã xử lý,24h
FB1065,29/02/2024 03:38,Da xu ly, 8 
FB1050,2024-02-08 09:33,Từ chối,24h
FB1101,26/02/2024 13:50,,4
FB1114,30/01/2024 12:41,Da xu ly,4
FB1111,2024-01-30 04:40,Da xu ly,12
FB1013,14/02/2024 09:15,dang  xu ly,72
FB1087,2024-01-31 23:56,Da xu ly,24
FB1085,2024-01-02 19:09,Từ chối,24
FB1043,25/02/2024 03:11,,
FB1026,11/01/2024 13:20,Da xu ly,4
FB1118,2024-02-17 23:37,Da xu ly,12
FB1036,2024-01-24 06:04,Đã xử lý,72
FB1074,30/01/2024 08:03,Tu choi,
FB1068,2024-01-04 00:34,Đang xử lý,72
FB1071,06/03/2024 23:56,,
FB1068,18/02/2024 05:19,, 8 
FB1046,09/02/2024 12:37,Từ chối,72
FB1035,2024-01-01 08:56,Đã xử lý, 8 
FB1090,09/01/2024 20:16,Tu choi,24h
FB1107,2024-02-10 20:05,Đang xử lý,
FB1015,2024-02-11 08:12,dang  xu ly,24
FB1047,2024-02-02 13:04,Da xu ly,
FB1071,13/01/2024 20:10,dang  xu ly,-1
FB1005,2024-03-03 03:18,Tu choi,-1
FB1037,04/03/2024 07:28,,72
FB1112,15/02/2024 23:25,Đã xử lý, 8 
FB1057,2024-02-02 16:58,Đang xử lý, 8 
FB1100,2024-02-13 14:19,Từ chối,24
FB1008,02/02/2024 09:36,Tu choi,4
FB1038,02/01/2024 18:49,Đang xử lý,72
FB1109,13/02/2024 21:11,Từ chối,24h
FB1060,2024-02-11 04:37,dang  xu ly,-1
FB1027,14/01/2024 16:15,Tu choi, 8 
FB1100,16/01/2024 10:55,Đang xử lý,24h
FB1066,2024-03-02 19:52,Đang xử lý,72
FB1052,29/02/2024 10:26,Da xu ly,12
FB1116,2024-01-25 15:48,Đang xử lý,24h
FB1015,19/01/2024 05:18,Tu choi,
FB1042,2024-02-21 09:49,Da xu ly,-1
FB1068,2024-01-17 20:25,Da xu ly,24h
FB1090,26/02/2024 14:46,dang  xu ly,24h
FB1092,14/02/2024 15:59,dang  xu ly, 8 
FB1091,2024-03-02 17:19,Tu choi, 8 
FB1049,21/01/2024 16:56,Từ chối,24
FB1021,26/01/2024 13:35,Tu choi,72
FB1028,2024-02-11 16:52,Từ chối,72
FB1037,2024-02-18 02:25,,72
FB1034,21/02/2024 16:50,dang  xu ly,24h
FB1057,2024-01-17 14:59,Đã xử lý,-1
FB1018,02/03/2024 17:00,Từ chối,
FB1114,21/02/2024 11:35,,
FB1071,18/02/2024 04:27,Từ chối,24
FB1044,2024-02-17 04:49,Từ chối, 8 
FB1006,2024-01-21 06:00,Da xu ly, 8 
FB1004,2024-02-04 12:24,Đã xử lý, 8 
FB1028,2024-02-22 12:29,Từ chối,72
FB1075,23/02/2024 00:21,Từ chối,24h
FB1089,26/01/2024 20:20,Đã xử lý,72
FB1022,06/02/2024 13:54,Từ chối,-1
FB1038,2024-01-10 00:45,Da xu ly,4
FB1028,20/01/2024 01:37,Đang xử lý,12
FB1091,2024-01-20 19:01,Đã xử lý,-1
FB1103,03/02/2024 16:29,Đang xử lý,72
FB1081,2024-01-09 04:51,Đang xử lý,24h
FB1054,2024-02-22 08:38,dang  xu ly,4
FB1060,2024-01-13 05:43,dang  xu ly,-1
FB1108,03/02/2024 02:25,Tu choi,72
FB1027,06/03/2024 06:03,dang  xu ly,12
FB1016,2024-02-17 02:47,,12
FB1082,2024-02-19 16:00,dang  xu ly,72
FB1055,02/02/2024 07:01,Da xu ly,
FB1035,20/02/2024 08:55,Đang xử lý, 8 
FB1117,20/01/2024 14:03,Tu choi,4
FB1073,05/02/2024 04:23,,72
FB1013,31/01/2024 03:40,,-1
FB1069,29/02/2024 07:37,Đã xử lý,72
FB1035,2024-02-02 10:22,Tu choi,12
FB1048,2024-02-05 17:26,,
FB1026,2024-01-19 16:12,,-1
FB1108,2024-02-10 22:06,Đang xử lý,4
FB1075,07/01/2024 09:09,Tu choi,72
FB1088,18/01/2024 21:44,Tu choi, 8 
FB1111,17/01/2024 05:14,Đã xử lý,-1
FB1008,28/01/2024 01:29,Da xu ly,24
FB1076,2024-02-14 10:55,Tu choi, 8 
FB1114,20/02/2024 19:25,Tu choi, 8 
FB1115,2024-02-14 22:09,,24
FB1033,02/02/2024 05:38,Da xu ly,-1
FB1005,2024-02-12 20:05,Tu choi,12
FB1046,10/01/2024 11:38,Đang xử lý,24
FB1000,28/02/2024 18:02,Da xu ly,24
FB1005,05/01/2024 01:08,Đã xử lý, 8 
FB1098,2024-02-28 23:16,dang  xu ly,24h
